CODUL DE CLASIFICARE|DENUMIREA ACTIVELOR FIXE|DURATE NORMALE  DE FUNCȚIONARE  - ANI -
2.4.1.4.|Păsări de reproducere.|2-4
2.4.1.5.|Câini de pază și vânătoare|4-8
2.4.1.6.|Alte animale necuprinse în cadrul clasei 2.4.1.|4-6
2.4.2.|Plantații.|
2.4.2.1.|Plantații de meri, peri, pruni, gutui, duzi, migdali, castani|16-24
2.4.2.2.|Plantații de cireși, vișini, piersici, aluni și caiși|9-15
2.4.2.3.|Plantații de nuci|24-36
2.4.2.4.|Plantații de agriși, coacăzi și trandafiri de dulceață|6-10
2.4.2.5.|Plantații de zmeură și alți arbuști și subarbuști (muri, căpșuni etc).|4-6
2.4.2.6.|Plantații de viță de vie:|
2.4.2.6.1.|- vii altoite (nobile) și portaltoi vie.|16-24
2.4.2.6.2.|- vii indigene, vii hibride, producători direcți.|12-18
2.4.2.7.|Plantații de hamei.|13-21
2.4.2.8.|Plantații de protecție și de consolidare a terenurilor:|
2.4.2.8.1.|- foioase și rășinoase.|50-70
2.4.2.8.2.|- plopi, salcâmi și sălcii.|24-36
2.4.2.9.|Răchitării.|5-9
2.4.2.10.|Alte plantații neregăsite în cadrul clasei 2.4.2.|16-24
2.5. Alte instalații tehnice, mijloace de transport, animale 20-30 și plantații neregăsite în cadrul grupei 2.|2.5. Alte instalații tehnice, mijloace de transport, animale 20-30 și plantații neregăsite în cadrul grupei 2.|2.5. Alte instalații tehnice, mijloace de transport, animale 20-30 și plantații neregăsite în cadrul grupei 2.
3.|GRUPA 3. MOBILIER, APARATURĂ BIROTICĂ, SISTEME DE PROTECȚIE A VALORILOR UMANE ȘI MATERIALE ȘI ALTE ACTIVE CORPORALE|
3.1.|Mobilier.|
3.1.1.|Mobilier (inclusiv mobilierul comercial și hotelier), în afară de:|9-15
3.1.1.1.|- mobilier comercial de prezentare din lemn și plastic cu structură metalică ușoară.|3-5
3.1.2.|Firme, panouri și reclame luminoase.|2-4
3.1.3.|Tablouri, gravuri, decorațiuni interioare, în afara celor înregistrate în patrimoniul cultural național.|8-12
3.1.4.|Inventar gospodăresc: tacâmuri din metale prețioase, covoare, oglinzi, candelabre, etc.|8-12
3.1.5.|Aparate electrocasnice; aparate radio-receptoare, televizoare, aparatură video, mașini de spălat rufe, mașini de spălat vase, frigidere, aspiratoare de praf, etc.|4-6
3.1.6.|Alt mobilier neregăsit în cadrul grupei 3.1.|6-10
3.2. Aparatură birotică|3.2. Aparatură birotică|3.2. Aparatură birotică
3.2.1.|Mașini de scris, de francat, aparate de dictat și reprodus, aparate de desenat, heliografe, aparate de copiat și multiplicat, aparate de proiecție, aparate de citit microfilme etc.|4-6
3.2.2.|Aparate de telecomunicații pentru birou: aparate telefonice, aparate telefax, aparate telex, instalații de comandă prin radio, aparate de căutat persoane etc.|3-5
3.2.3.|Mașini de numărat și identificat bani.|2-4
3.2.4.|Altă aparatură birotică neregăsită în cadrul subgrupei 3.2.|3-5
3.3.|Sisteme de protecție a valorilor umane și materiale|
3.3.1.|Echipamente de protecție mecanică - grilaje, grătare, uși blindate, uși de securitate, ferestre și panouri de securitate (antiefracție, antivandal, antiglonț).|16-24
3.3.2.|Unități de depozitare valori și purtători de date (case de bani, seifuri, dulapuri ignifuge etc).|16-24
3.3.3.|Automate bancare, bancomate.|8-12
3.3.4.|Sisteme de protecție la incendiu (elemente de detecție și de acționare, centrale de semnalizare și acționare etc).|12-18
3.3.5.|Sisteme pentru identificare și controlul accesului, supraveghere și alarmă la efracție.|8-12
3.3.6.|Alte sisteme de protecție a valorilor umane și materiale neregăsite în cadrul subgrupei 3.3.|12-18
3.4.|Alte active corporale neregăsite în cele specificate la grupa 3.|8-15
